Phenotype ID,Phenotype Parent ID,Display Name,Association Name,Description (Definition),Phenotype Data Type,Age,Sex Specific
2000,NULL,Anthropometric measures,NULL,NULL,NULL,NULL,NULL
2010,2000,Height,NULL,NULL,NULL,NULL,NULL
2020,2010,Height When Sitting ,sqx_sit_ht_o,"Height when sitting was determined from question 12 of the supplemental questionnaire. Question 12 - ""Compared to other people of the same sex and height, when sitting, are you. . .""",ordinal,sqx_age_co,NULL
2030,2010,Height (BQ),bq_height_f_co,"Height in feet and inches was recorded at baseline. Question 23 - ""How tall are you?""",continuous,bq_age_co,NULL
2040,2010,Height (SQX),sqx_height_co,"Height in feet and inches was recorded in the supplemental questionnaire. Question 7 - ""What is your current height?""",continuous,sqx_age_co,NULL
2050,2000,Weight,NULL,NULL,NULL,NULL,NULL
2060,2050,Weight Gain Area: Chest and Shoulders,sqx_gain_chest_shoulders_b,"Weight gain around the chest and shoulders was determined from question 10 of the supplemetal questionnaire. Question 10 - ""When you gain weight, where do you mainly tend to add the weight?""",binary,sqx_age_co,NULL
2070,2050,Weight Gain Area: Equally All Over,sqx_gain_equally_over_b,"Weight gain area was determined from question 10 of the supplemetal questionnaire. Question 10 - ""When you gain weight, where do you mainly tend to add the weight?""",binary,sqx_age_co,NULL
2080,2050,Weight Gain Area: Hips and Thighs,sqx_gain_hips_thighs_b,"Weight gain around the hips and thighs was determined from question 10 of the supplemetal questionnaire. Question 10 - ""When you gain weight, where do you mainly tend to add the weight?""",binary,sqx_age_co,NULL
2090,2050,Weight Gain Area: Waist and Stomach,sqx_gain_waist_stomach_b,"Weight gain around the waist and stomach was determined from question 10 of the supplemetal questionnaire. Question 10 - ""When you gain weight, where do you mainly tend to add the weight?""",binary,sqx_age_co,NULL
2100,2050,Weight Loss Area: Chest and Shoulders,sqx_lose_chest_shoulders_b,"Weight loss around the chest and shoulders was determined from question 10 of the supplemetal questionnaire. Question 11 - ""When you are trying to slim down, where is it most difficult to lose weight?""",binary,sqx_age_co,NULL
2110,2050,Weight Loss Area: Equally All Over,sqx_lose_equally_over_b,"Weight loss area was determined from question 10 of the supplemetal questionnaire. Question 11 - ""When you are trying to slim down, where is it most difficult to lose weight?""",binary,sqx_age_co,NULL
2120,2050,Weight Loss Area: Hips and Thighs,sqx_lose_hips_thighs_b,"Weight loss around the hips and thighs was determined from question 10 of the supplemetal questionnaire. Question 11 - ""When you are trying to slim down, where is it most difficult to lose weight?""",binary,sqx_age_co,NULL
2130,2050,Weight Loss Area: Waist and Stomach,sqx_lose_waist_stomach_b,"Weight loss around the waist and stomach was determined from question 10 of the supplemetal questionnaire. Question 11 - ""When you are trying to slim down, where is it most difficult to lose weight?""",binary,sqx_age_co,NULL
